"","Category","RGS","AC","PValue"
"4","Extracellular material",69,495,7.17756670800411e-55
"12","Proteolysis general",13,394,2.97913199354635e-05
"17","Transcription: chromatin",8,222,0.000535453534840504
"15","Stress response",14,833,0.00849493307769368
"20","Transmembrane transport",14,901,0.015492736577541
"14","Signaling",16,1188,0.0320305991953017
"5","Globin",2,36,0.0354246573949374
"1","Chaperone",3,92,0.0386256996513795
"3","Development",4,295,0.205885583671088
"7","Major sperm protein",1,31,0.220956247396462
"6","Lysosome",1,91,0.511868877488456
"2","Cytoskeleton",3,371,0.55554679589333
"18","Transcription: general machinery",1,154,0.70092899918078
"8","Metabolism",11,1601,0.7012582829386
"21","Unassigned",44,6343,0.785540330283121
"11","Protein modification",1,271,0.879283914269239
"9","Neuronal function",1,308,0.909329549011261
"19","Transmembrane protein",18,3200,0.931688009075792
"16","Transcription factor",2,581,0.939647096822734
"13","Pseudogene",7,2081,0.99586558596767
"10","Non-coding RNA",8,9535,1
