"","Category","RGS","AC","PValue"
"24","Unassigned",419,6343,3.67141879839268e-14
"5","Extracellular material",60,495,1.82048921508189e-11
"16","Pseudogene",150,2081,9.28369782704683e-09
"15","Proteolysis proteasome",64,733,4.0631473624641e-07
"7","Major sperm protein",5,31,0.0144358918098968
"18","Stress response",43,833,0.118462226442738
"14","Proteolysis general",19,394,0.317748844213973
"20","Transcription: chromatin",10,222,0.464686964184579
"13","Protein modification",12,271,0.475644616999073
"22","Transmembrane protein",136,3200,0.477789577723876
"19","Transcription factor",25,581,0.48917268354167
"2","Cytoskeleton",12,371,0.850122265352234
"17","Signaling",38,1188,0.962284111781613
"12","Nucleic acid",5,231,0.963312318600555
"6","Lysosome",1,91,0.97753049935165
"3","Development",6,295,0.983144899841682
"4","DNA",2,176,0.994471178684517
"21","Transcription: general machinery",1,154,0.998319209936818
"1","Cell cycle",1,172,0.999197987681029
"10","Neuronal function",1,308,0.999996965246909
"9","mRNA functions",2,407,0.999999080204143
"23","Transmembrane transport",12,901,0.999999512123931
"8","Metabolism",30,1601,0.999999728541681
"11","Non-coding RNA",220,9535,1
