"","Category","RGS","AC","PValue"
"2","Extracellular material: collagen",33,184,7.42344857708616e-51
"8","Signaling: hedgehog-like",2,89,0.00887310107765441
"9","Stress response: dauer",1,8,0.0136564134352704
"4","mRNA functions: processing: polyadenylation",1,23,0.0359954875386409
"1","Chaperone: cyclophilin",1,28,0.0433265185900706
"3","Extracellular material: cuticlin",1,35,0.0534944656687499
"10","Transcription factor: bHLH",1,36,0.0549379971289823
"13","Unassigned: receptor L domain",1,41,0.0621220155194426
"11","Transmembrane protein: seven transmembrane receptor: sre",1,52,0.0777312750467546
"7","Proteolysis general: metallopeptidase",1,123,0.172301025081602
"6","Non-coding RNA: snoRNA",1,344,0.408033257014546
"12","Unassigned",1,4113,0.997281037025867
"5","Non-coding RNA: ncRNA",2,7850,0.999763177911395
